epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3585.49,0.31981,0.27321,0.85041,0.98972,1,0.995,0.98524,0.204,0.22386,0.78801,0.0005348,0.0005348,0.0005348
76,3632.26,0.3126,0.27112,0.86884,0.99158,1,0.995,0.99029,0.19804,0.22563,0.78278,0.000515,0.000515,0.000515
77,3678.84,0.28023,0.25504,0.84878,0.98492,1,0.995,0.97816,0.20042,0.21889,0.7842,0.0004952,0.0004952,0.0004952
78,3725.44,0.30328,0.25824,0.85344,0.981,1,0.995,0.98288,0.21441,0.22509,0.79049,0.0004754,0.0004754,0.0004754
79,3771.82,0.27725,0.24787,0.84042,0.98138,1,0.995,0.98016,0.21474,0.22316,0.7913,0.0004556,0.0004556,0.0004556
80,3819.57,0.28769,0.25461,0.84372,0.98181,1,0.995,0.98108,0.20541,0.21852,0.78544,0.0004358,0.0004358,0.0004358
81,3868.86,0.29417,0.25727,0.85217,0.98142,1,0.995,0.98042,0.19682,0.21704,0.78278,0.000416,0.000416,0.000416
82,3916.43,0.28853,0.25093,0.8418,0.98145,1,0.9946,0.98658,0.19072,0.21352,0.78103,0.0003962,0.0003962,0.0003962
83,3963.45,0.27767,0.24408,0.85639,0.98188,1,0.99401,0.98761,0.19119,0.20438,0.78211,0.0003764,0.0003764,0.0003764
84,4010.43,0.27815,0.2519,0.83737,0.98539,1,0.9949,0.98549,0.19997,0.20281,0.78554,0.0003566,0.0003566,0.0003566
85,4056.83,0.29214,0.24811,0.83915,0.98552,1,0.995,0.98917,0.19957,0.19865,0.78526,0.0003368,0.0003368,0.0003368
86,4103.56,0.27405,0.23995,0.84671,0.9849,1,0.995,0.98835,0.19141,0.20027,0.78138,0.000317,0.000317,0.000317
87,4150.06,0.26961,0.23844,0.84193,0.98416,1,0.995,0.99069,0.18736,0.20591,0.78094,0.0002972,0.0002972,0.0002972
88,4196.89,0.28076,0.24834,0.84201,0.98213,1,0.9946,0.98905,0.18965,0.19468,0.78039,0.0002774,0.0002774,0.0002774
89,4244.35,0.2672,0.23877,0.83491,0.97984,1,0.9946,0.98793,0.19349,0.19679,0.78346,0.0002576,0.0002576,0.0002576
90,4291.7,0.26839,0.23422,0.83288,0.97989,1,0.9947,0.98835,0.19601,0.20345,0.78512,0.0002378,0.0002378,0.0002378
91,4338.7,0.21182,0.21776,0.80962,0.97987,1,0.9948,0.99065,0.18718,0.20126,0.78084,0.000218,0.000218,0.000218
92,4384.67,0.21041,0.20594,0.79423,0.98008,1,0.9945,0.98774,0.18303,0.20782,0.77908,0.0001982,0.0001982,0.0001982
93,4429.88,0.19251,0.20189,0.81416,0.98007,1,0.9947,0.98606,0.1821,0.20793,0.77973,0.0001784,0.0001784,0.0001784
94,4475.89,0.20689,0.20776,0.81877,0.98029,1,0.995,0.99118,0.18402,0.2074,0.78071,0.0001586,0.0001586,0.0001586
95,4521.85,0.20736,0.19947,0.80917,0.98461,1,0.995,0.98996,0.18549,0.20106,0.78076,0.0001388,0.0001388,0.0001388
96,4567.37,0.20309,0.19753,0.80643,0.99312,1,0.995,0.99046,0.18272,0.19731,0.77943,0.000119,0.000119,0.000119
97,4613.4,0.19879,0.19139,0.81735,0.99627,1,0.995,0.99281,0.17805,0.1943,0.77798,9.92e-05,9.92e-05,9.92e-05
98,4657.75,0.19742,0.19585,0.80664,0.9971,1,0.995,0.99012,0.1748,0.18976,0.77706,7.94e-05,7.94e-05,7.94e-05
99,4701.88,0.19856,0.20113,0.81863,0.99759,1,0.995,0.9913,0.17396,0.18572,0.77694,5.96e-05,5.96e-05,5.96e-05
100,4745.89,0.19236,0.18671,0.79438,0.99785,1,0.995,0.99135,0.17363,0.18165,0.7772,3.98e-05,3.98e-05,3.98e-05
